"","condition","cn","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"27",27,510,0.8,0.3,0.5,0,1,1,1,0.933,1,1,1,0.24,1,0.93,1,0.045,0.036,1,1,1,1,0.056,1,1,1,1,0.064,1,1,1,1,1,1,0,0
"28",28,30,0.2,0.3,0.1,0.1,0.995,0.239,0.996,0.1,0.361,0.984,0.232,0.146,0.957,0.08,0.018,0.404,0.207,1,0.995,1,1,0.999,1,0.263263263263263,1,0.264,0.088,1,0.834,0.365,1,0.858,0.378,0.712,0.676
"29",29,120,0.2,0.3,0.1,0.1,1,0.754,1,0.294,0.97,1,0.861,0.316,1,0.537,0.014,0.984,0.907,1,1,1,1,1,1,0.892,1,0.893,0.088,1,1,0.922,1,1,0.948,1,0.999
"30",30,510,0.2,0.3,0.1,0.1,1,1,1,0.836,1,1,1,0.802,1,0.999,0.049,1,1,1,1,1,1,1,1,1,1,1,0.093,1,1,1,1,1,1,1,1
"31",31,30,0.4,0.3,0.1,0.1,0.997,0.291,0.997,0.059,0.405,0.992,0.299,0.131,0.972,0.095,0.012,0.416,0.228,1,0.993,1,0.999,0.957,1,0.802,1,0.795,0.081,1,0.939,0.178,1,0.937,0.165,0.607,0.594
"32",32,120,0.4,0.3,0.1,0.1,1,0.901,1,0.195,0.992,1,0.946,0.342,1,0.606,0.022,0.983,0.891,1,1,1,1,1,1,1,1,1,0.066,1,1,0.578,1,1,0.593,0.994,0.99
"33",33,510,0.4,0.3,0.1,0.1,1,1,1,0.663,1,1,1,0.815,1,0.999,0.106,1,1,1,1,1,1,1,1,1,1,1,0.068,1,1,0.995,1,1,0.994,1,1
"34",34,30,0.8,0.3,0.1,0.1,0.997,0.396,0.994,0.046,0.518,0.99,0.426,0.126,0.97,0.118,0.024,0.418,0.178,1,0.985,1,0.988,0.41,1,1,1,1,0.055,1,1,0.181,1,0.993,0.159,0.238,0.238
"35",35,120,0.8,0.3,0.1,0.1,1,0.965,1,0.072,1,1,0.977,0.326,1,0.629,0.081,0.992,0.896,1,1,1,1,0.95,1,1,1,1,0.048,1,1,0.57,1,1,0.573,0.712,0.701
"36",36,510,0.8,0.3,0.1,0.1,1,1,1,0.196,1,1,1,0.842,1,0.999,0.603,1,1,1,1,1,1,1,1,1,1,1,0.071,1,1,0.993,1,1,0.996,1,0.999
